Startup_ID,Company_Name,Industry,One_Line_Pitch,Founding_Year,Headquarters_Location,Funding_Stage,Last_Funding_Amount_USD_Millions,Number_of_Employees,Website,LinkedIn_Profile,Twitter_Handle,CEO_Name,Core_Technology,Market_Size_Billion_USD
1719,Compton-Brooks,AI & Machine Learning,Self-optimizing AI workflows for smarter operations.,2012,"New Geraldtown, Eritrea",IPO,368.51,692.0,comptonbrooks.io,https://linkedin.com/company/compton-brooks,@comptonbrook510,Jennifer Flores,Machine Learning,10.0
1720,"Davis, Kirby and Wilkinson",FinTech,Next-gen POS systems integrating omni-channel payments.,2012,"Elliottport, Nepal",Series A,12.81,32.0,daviskirbyandwilkinson.app,https://linkedin.com/company/davis-kirby-and-wilkinson,@daviskirbyan4850,Phillip Contreras,Cloud Computing,70.0
1721,Dixon Group,Social Media,Augmented social storytelling blending digital with reality.,2012,"Laceychester, Monaco",Pre-Seed,1.01,10.0,,https://linkedin.com/company/dixon-group,@dixongroup7651,Brittany Barber,Edge Computing,60.0
1722,Lane-Duarte,IoT,IoT wearables guiding elderly healthcare monitoring.,2020,"Beckton, Ethiopia",Seed,1.06,14.0,laneduarte.io,https://linkedin.com/company/lane-duarte,@laneduarte255,Henry Reeves,5G,10.0
1723,Conway-Davis,FinTech,AI-powered underwriting for faster loan approvals.,2013,"Rodriguezchester, Aruba",Pre-Seed,0.66,5.0,conwaydavis.ai,https://linkedin.com/company/conway-davis,@conwaydavis4413,Juan Wright MD,Cloud Computing,40.0
1724,"English, Vazquez and Grant",HealthTech,Cognitive AI agents for medical knowledge queries.,2024,"Jenniferstad, Botswana",Series C,135.01,141.0,englishvazquezandgrant.io,https://linkedin.com/company/english-vazquez-and-grant,@englishvazqu180,Julia Yates,Augmented Reality,70.0
1725,"Santiago, Sanders and Carter",HealthTech,Smart prosthetics adapting via ML algorithms.,2021,"New Saraport, Syrian Arab Republic",Series D,196.39,359.0,santiagosandersandcarter.io,https://linkedin.com/company/santiago-sanders-and-carter,@santiagosand7513,Janet Wright,Augmented Reality,90.0
1726,Walls-Patterson,Gaming,Adaptive soundscapes powered by deep learning.,2009,"Shawnport, Canada",Private Equity,219.53,201.0,wallspatterson.io,https://linkedin.com/company/walls-patterson,@wallspatters4812,Adam Hoffman,Cloud Computing,50.0
1727,Cruz and Sons,Food Tech,AI-powered demand elasticity pricing for food delivery.,2019,"Bethanybury, Sweden",Pre-Seed,1.16,2.0,cruzandsons.app,https://linkedin.com/company/cruz-and-sons,@cruzandsons8730,Denise Payne,Computer Vision,150.0
1728,Shaw PLC,AI & Machine Learning,AI governance frameworks for responsible innovation.,2016,"West Amanda, Martinique",Private Equity,454.49,443.0,shawplc.ai,https://linkedin.com/company/shaw-plc,@shawplc9339,Crystal Williams,NLP,150.0
1729,Taylor-Green,Food Tech,Vertical farming powered by AI growth analytics.,2014,"Hernandezhaven, Kenya",Private Equity,153.87,,taylorgreen.co,https://linkedin.com/company/taylor-green,@taylorgreen7596,Andrea Johnson,IoT,120.0
1730,Davis Inc,SaaS,Event-driven SaaS integrations powering frictionless automation.,2013,"Port Daniel, Ukraine",IPO,,,davisinc.ai,https://linkedin.com/company/davis-inc,@davisinc3048,Misty Howard,5G,100.0
1731,"Bowman, Martin and Hoover",HealthTech,Data-driven hospital operations reducing bottlenecks.,2020,"Lake Richard, Djibouti",Private Equity,,1365.0,bowmanmartinandhoover.tech,https://linkedin.com/company/bowman-martin-and-hoover,@bowmanmartin6688,Nathan Kline,Artificial Intelligence,30.0
1732,Lopez-Wright,Gaming,Intelligent anti-cheat powered by behavior recognition.,2025,"Manuelhaven, Bhutan",Series A,7.77,71.0,lopezwright.co,https://linkedin.com/company/lopez-wright,@lopezwright9110,Richard Graves,Quantum Computing,150.0
1733,Ward LLC,IoT,Edge analytics that transforms sensor data into insights.,2017,"Tylerview, British Virgin Islands",Private Equity,,553.0,wardllc.com,https://linkedin.com/company/ward-llc,@wardllc8574,Jessica Santos,Cybersecurity,60.0
1734,Terry LLC,EdTech,Career coaching bots guiding job-seekers in real time.,2014,"Port Ashleyfurt, Tanzania",,,44.0,terryllc.io,,,Perry Washington,5G,100.0
1735,"Jones, Black and Graves",SaaS,Low-latency APIs optimizing SaaS integrations at scale.,2012,"New Ambertown, Tonga",IPO,751.94,2798.0,jonesblackandgraves.app,https://linkedin.com/company/jones-black-and-graves,@jonesblackan3717,Roy Thomas,Artificial Intelligence,10.0
1736,Miller-Nelson,EdTech,Cohort-based learning with automated progress analytics.,2014,"Port Jeremymouth, Nigeria",Seed,2.98,30.0,millernelson.app,https://linkedin.com/company/miller-nelson,@millernelson8906,James Bennett,Computer Vision,
1737,Gardner-Jensen,Social Media,Cross-platform creator dashboards unifying analytics.,2013,"Lake Theresa, Indonesia",Private Equity,350.21,807.0,gardnerjensen.com,https://linkedin.com/company/gardner-jensen,@gardnerjense5399,Kirsten Collins,Blockchain,25.0
1738,"James, Edwards and Stafford",EdTech,AI-generated study plans tailored to student goals.,2021,"West Matthewview, Germany",IPO,820.36,2438.0,jamesedwardsandstafford.tech,https://linkedin.com/company/james-edwards-and-stafford,@jamesedwards6565,Amber Martinez,Artificial Intelligence,25.0
1739,Bowen Ltd,PropTech,Neighborhood AI insights guiding urban planning.,2019,"North Megan, Slovakia (Slovak Republic)",Pre-Seed,0.24,,bowenltd.co,,@bowenltd5972,Isaiah Terry,Big Data,50.0
1740,Small-Williams,Cybersecurity,Continuous risk scoring for dynamic access controls.,2018,"North Thomaschester, Pitcairn Islands",,,79.0,smallwilliams.app,https://linkedin.com/company/small-williams,@smallwilliam4758,Crystal Carlson,Machine Learning,5.0
1741,"Aguirre, Clark and Edwards",SaaS,SaaS with real-time collaboration natively built in.,2015,"Daughertyberg, Bolivia",Series A,13.82,89.0,aguirreclarkandedwards.ai,https://linkedin.com/company/aguirre-clark-and-edwards,,Debbie Watson,Machine Learning,20.0
1742,Gray Inc,Social Media,On-demand group creation driven by shared interests.,2019,"North Brookeshire, Gabon",Seed,,26.0,grayinc.tech,https://linkedin.com/company/gray-inc,@grayinc2939,Elizabeth Mata,Deep Learning,10.0
1743,White-Carter,Mobility,Connected vehicle ecosystems for insurance monitoring.,2014,"Lutzview, Solomon Islands",Seed,1.17,8.0,whitecarter.ai,https://linkedin.com/company/white-carter,@whitecarter3013,Shannon Austin,5G,70.0
1744,Jimenez-Williams,SaaS,Microservices-first SaaS maximizing modularity.,2016,"Bakertown, Svalbard & Jan Mayen Islands",Pre-Seed,0.09,9.0,jimenezwilliams.co,https://linkedin.com/company/jimenez-williams,@jimenezwilli2109,Emily Henderson,Big Data,50.0
1745,Burns-Ramos,AI & Machine Learning,Proactive AI monitoring for system reliability and uptime.,2018,"New Shannonport, Seychelles",IPO,,884.0,burnsramos.co,https://linkedin.com/company/burns-ramos,@burnsramos559,Daniel Harrington,Virtual Reality,90.0
1746,"Johnson, Anderson and Vincent",HealthTech,Computer vision for dermatological screening.,2019,"Jonathanfurt, Turkey",,,,johnsonandersonandvincent.ai,https://linkedin.com/company/johnson-anderson-and-vincent,@johnsonander6284,Carlos Schultz,Edge Computing,40.0
1747,Rogers-Roberts,CleanTech,Real-time climate adaptation simulations for policy.,2008,"South Cynthiastad, Denmark",Series D,186.15,,rogersroberts.app,https://linkedin.com/company/rogers-roberts,@rogersrobert1564,Alexa Frederick,Cybersecurity,80.0
1748,Martin-Lopez,PropTech,Augmented reality tools for interior design showcase.,2019,"East Kelly, Serbia",Private Equity,349.88,296.0,martinlopez.app,https://linkedin.com/company/martin-lopez,,Jessica Keith,5G,
1749,"Douglas, Collins and Taylor",IoT,AR overlays powered by IoT for field technicians.,2017,"Christinafurt, Antarctica (the territory South of 60 deg S)",Pre-Seed,0.5,1.0,douglascollinsandtaylor.io,https://linkedin.com/company/douglas-collins-and-taylor,@douglascolli9900,Christopher Fletcher,Edge Computing,25.0
1750,Davis PLC,EdTech,AI-driven content recommendation for e-learning systems.,2013,"Amandahaven, Northern Mariana Islands",Private Equity,382.29,,davisplc.tech,https://linkedin.com/company/davis-plc,@davisplc6091,Anthony Hodges,5G,100.0
1751,"Smith, Wells and Black",Food Tech,Smart kitchen assistants reducing cooking energy consumption.,2025,"Olsonfort, Monaco",IPO,,1589.0,smithwellsandblack.tech,https://linkedin.com/company/smith-wells-and-black,@smithwellsan5537,Shannon Thompson,Artificial Intelligence,15.0
1752,"Khan, Howard and Galvan",Food Tech,Food quality checks powered by computer vision.,2015,"Port Joshuaberg, Saint Barthelemy",Series B,30.88,78.0,khanhowardandgalvan.tech,https://linkedin.com/company/khan-howard-and-galvan,@khanhowardan7675,Dennis Martin,5G,70.0
1753,Jones-Cross,IoT,Predictive IoT models ensuring rail safety.,2009,"North James, El Salvador",Private Equity,484.23,287.0,jonescross.tech,https://linkedin.com/company/jones-cross,@jonescross2756,Peter Mendoza,Artificial Intelligence,10.0
1754,Jordan Ltd,Gaming,Open-world games enhanced by generative landscapes.,2017,"Delacruzside, Australia",,,41.0,jordanltd.com,https://linkedin.com/company/jordan-ltd,@jordanltd3272,Gregory Fuentes,Machine Learning,25.0
1755,Richardson LLC,CleanTech,AI-driven demand-side electricity forecasting.,2025,"West David, Paraguay",,,,richardsonllc.io,https://linkedin.com/company/richardson-llc,@richardsonll6543,Nicole Gordon,Computer Vision,50.0
1756,Cox-Goodwin,Cybersecurity,AI intrusion detection built on self-learning models.,2013,"Brandonchester, Equatorial Guinea",Series C,,407.0,coxgoodwin.co,https://linkedin.com/company/cox-goodwin,@coxgoodwin115,Jacob Pearson,Artificial Intelligence,
1757,Singh-Kane,SaaS,Smart disaster recovery built directly into SaaS stacks.,2012,"North Donaldborough, Cape Verde",Pre-Seed,1.35,,singhkane.com,https://linkedin.com/company/singh-kane,@singhkane4740,Victoria Mitchell,Cloud Computing,100.0
1758,"Mendez, Doyle and Rowland",Food Tech,Omni-channel food commerce blending retail and delivery.,2023,"South Samuelfurt, Serbia",Series C,149.74,,mendezdoyleandrowland.co,https://linkedin.com/company/mendez-doyle-and-rowland,@mendezdoylea2946,Matthew Newman,NLP,50.0
1759,"Newton, Burns and Johnson",AI & Machine Learning,Automating decisions with AI to unlock efficiency at scale.,2012,"Cohenland, Ukraine",Series B,13.68,34.0,,https://linkedin.com/company/newton-burns-and-johnson,@newtonburnsa6128,Miguel Pena,Blockchain,
1760,Solis Inc,IoT,IoT wearables detecting occupational safety risks.,2009,"Riverston, Equatorial Guinea",,,27.0,solisinc.co,https://linkedin.com/company/solis-inc,@solisinc3875,Mark Johnson,IoT,10.0
1761,"Gamble, Werner and Nguyen",E-commerce,Cross-channel identity management for personalized targeting.,2024,"West Claudia, Denmark",Series A,3.58,44.0,gamblewernerandnguyen.com,https://linkedin.com/company/gamble-werner-and-nguyen,,David Torres,Artificial Intelligence,20.0
1762,Hodge Ltd,FinTech,Cross-platform digital money movement protocols.,2015,"New Cesarfurt, Kazakhstan",Pre-Seed,0.26,,hodgeltd.tech,https://linkedin.com/company/hodge-ltd,@hodgeltd4298,Dustin Stein,Deep Learning,80.0
1763,Reed-Jackson,PropTech,AI chatbots assisting residents with requests.,2019,"Jonathanstad, Eritrea",IPO,200.9,1829.0,reedjackson.co,https://linkedin.com/company/reed-jackson,@reedjackson683,Anthony Schmidt,Blockchain,10.0
1764,"Koch, Barker and Alvarez",Mobility,AI copilots assisting fleet managers with sustainability KPIs.,2023,"South Janet, Micronesia",Series D,215.4,479.0,kochbarkerandalvarez.app,https://linkedin.com/company/koch-barker-and-alvarez,@kochbarkeran9676,Martin Curtis,Cloud Computing,25.0
1765,"Caldwell, Allen and Larson",Gaming,NFT ticketing systems for gaming tournaments.,2015,"New Stephen, Macao",Series C,44.92,,caldwellallenandlarson.tech,https://linkedin.com/company/caldwell-allen-and-larson,@caldwellalle1979,Dawn Ryan,Computer Vision,100.0
1766,Lara-Bradley,IoT,Low-orbit satellite IoT connectivity for remote regions.,2018,"Mcneilhaven, Malaysia",Series C,78.74,405.0,larabradley.app,https://linkedin.com/company/lara-bradley,@larabradley6079,Stacey Duran,Edge Computing,25.0
1767,"Brown, Kaiser and Edwards",Food Tech,Supply-chain transparency from farm to fork.,2015,"Port Timothy, Falkland Islands (Malvinas)",Private Equity,233.77,1921.0,brownkaiserandedwards.io,,@brownkaisera5073,Melanie King,IoT,120.0
1768,Johnson Inc,Social Media,Tokenized fan engagement through utility NFTs.,2008,"Pageburgh, Ethiopia",Private Equity,,328.0,johnsoninc.ai,https://linkedin.com/company/johnson-inc,,Dalton Hawkins,Deep Learning,90.0
1769,Vargas and Sons,AI & Machine Learning,Real-time NLP solutions to power human-like interactions.,2010,"East Ashley, Bosnia and Herzegovina",IPO,828.07,742.0,vargasandsons.ai,https://linkedin.com/company/vargas-and-sons,@vargasandson8628,Brian Lucas,Machine Learning,150.0
1770,"Porter, Myers and Montoya",SaaS,Sustainable SaaS architectures reducing cloud carbon footprint.,2018,"East Zachary, Malaysia",Series B,38.36,,portermyersandmontoya.co,https://linkedin.com/company/porter-myers-and-montoya,@portermyersa4329,Michelle Hawkins,Machine Learning,90.0
1771,Jackson Inc,IoT,Drone IoT swarms for coordinated data collection.,2022,"Port Darylburgh, Denmark",Pre-Seed,,2.0,jacksoninc.app,https://linkedin.com/company/jackson-inc,@jacksoninc8597,Aaron Brown,Cloud Computing,100.0
1772,"Cruz, Hamilton and Wilson",Food Tech,AI tools for flavor profiling and ingredient matching.,2018,"New Maureenside, Uruguay",Series B,16.15,112.0,cruzhamiltonandwilson.app,https://linkedin.com/company/cruz-hamilton-and-wilson,@cruzhamilton9950,Karen Hughes,IoT,
1773,Kelley LLC,CleanTech,Smart transportation systems minimizing urban emissions.,2022,"West Patrick, Bermuda",Series D,,448.0,kelleyllc.app,https://linkedin.com/company/kelley-llc,@kelleyllc7836,Thomas Young,Artificial Intelligence,
1774,"Roberts, Flores and Sanchez",Mobility,Smart helmets enabled with augmented reality overlays.,2013,"New Williamton, Solomon Islands",Seed,,15.0,robertsfloresandsanchez.co,https://linkedin.com/company/roberts-flores-and-sanchez,@robertsflore3964,Mr. Paul Chase,Artificial Intelligence,40.0
1775,"Taylor, Edwards and Ortiz",Gaming,Augmented reality overlays in multiplayer settings.,2012,"Marilynville, Antigua and Barbuda",IPO,998.46,2422.0,tayloredwardsandortiz.com,https://linkedin.com/company/taylor-edwards-and-ortiz,@tayloredward3049,Nicholas Vang,Virtual Reality,25.0
1776,Conley-Powell,IoT,Voice-enabled IoT interfaces for hands-free control.,2013,"North Mitchell, Suriname",IPO,495.37,1606.0,conleypowell.io,https://linkedin.com/company/conley-powell,@conleypowell8765,Gary Harmon,Cybersecurity,80.0
1777,Kim-Jones,HealthTech,Symptom checkers powered by conversational AI.,2008,"Lake Brandonchester, Ukraine",Seed,,9.0,kimjones.io,https://linkedin.com/company/kim-jones,@kimjones8459,Jennifer Davis,Artificial Intelligence,60.0
1778,Stein Group,Social Media,AI-enabled tools for detecting deepfakes in real time.,2008,"Kerryland, Russian Federation",,,248.0,steingroup.ai,https://linkedin.com/company/stein-group,@steingroup5261,Ryan Kaiser,Machine Learning,15.0
1779,Hatfield Inc,IoT,IoT-powered hospitality enhancing guest experiences.,2018,"Weaverville, Iran",Pre-Seed,1.05,4.0,hatfieldinc.tech,https://linkedin.com/company/hatfield-inc,,Tammy Vargas,IoT,20.0
1780,"Harrison, Mills and Smith",SaaS,Cloud-native SaaS apps optimized for elasticity.,2012,"South Robert, Cook Islands",Series B,,190.0,harrisonmillsandsmith.app,https://linkedin.com/company/harrison-mills-and-smith,@harrisonmill2467,Charles Ferguson,NLP,25.0
1781,"Cunningham, Sullivan and Price",FinTech,Instant BNPL products optimized by AI.,2009,"Gloverhaven, Djibouti",,,206.0,cunninghamsullivanandprice.ai,https://linkedin.com/company/cunningham-sullivan-and-price,@cunninghamsu7834,Kristin Meyer,IoT,5.0
1782,"Knight, Kennedy and Cooley",E-commerce,Gig-economy delivery integration into e-commerce platforms.,2009,"Harringtonland, Haiti",Series B,25.66,233.0,knightkennedyandcooley.ai,https://linkedin.com/company/knight-kennedy-and-cooley,@knightkenned2217,Robert Patterson,Artificial Intelligence,70.0
1783,Chavez-Jones,PropTech,Modular construction optimized with analytics.,2009,"Mosleytown, Puerto Rico",Series C,,109.0,chavezjones.app,https://linkedin.com/company/chavez-jones,@chavezjones7117,Beth Harding,Virtual Reality,
1784,Reynolds Ltd,Blockchain,AI + blockchain synergy for fraud detection.,2008,"Shawnhaven, Morocco",Series A,9.73,15.0,reynoldsltd.io,https://linkedin.com/company/reynolds-ltd,@reynoldsltd6633,Shelley James,IoT,40.0
1785,Levine-Tran,Mobility,Self-optimizing navigation algorithms at scale.,2016,"Port Sherryshire, Heard Island and McDonald Islands",Private Equity,378.02,1117.0,levinetran.ai,https://linkedin.com/company/levine-tran,@levinetran5162,Teresa Bowers,Cybersecurity,
1786,Rogers-Edwards,EdTech,Career coaching bots guiding job-seekers in real time.,2025,"South Tommyport, Romania",IPO,857.9,933.0,rogersedwards.ai,https://linkedin.com/company/rogers-edwards,@rogersedward9810,Paul Freeman,5G,120.0
1787,Guzman-Bowers,Mobility,AI copilots for ride-hailing route optimization.,2014,"New Emilyside, Cameroon",Pre-Seed,,7.0,guzmanbowers.ai,https://linkedin.com/company/guzman-bowers,@guzmanbowers3547,Lee Vargas,Blockchain,25.0
1788,Graham and Sons,IoT,Autonomous factory floors powered by IoT robotics.,2011,"East Carrie, Lesotho",Seed,,24.0,grahamandsons.tech,https://linkedin.com/company/graham-and-sons,@grahamandson1223,Kevin Cole,IoT,20.0
1789,"Keith, Gentry and Baker",EdTech,Adaptive learning paths personalized by AI for every student.,2010,"Josephberg, Bosnia and Herzegovina",Pre-Seed,,3.0,keithgentryandbaker.io,https://linkedin.com/company/keith-gentry-and-baker,@keithgentrya3164,Hannah Carter,Computer Vision,70.0
1790,Bass-Williams,IoT,IoT-connected cold chain for vaccine distribution.,2020,"Chanberg, Afghanistan",Series A,15.44,18.0,basswilliams.tech,https://linkedin.com/company/bass-williams,@basswilliams8212,Brenda Richard,Augmented Reality,25.0
1791,Crawford-Smith,Social Media,AI moderation that protects users and brands.,2018,"Lake Brandonfurt, Cyprus",IPO,975.28,3477.0,crawfordsmith.tech,https://linkedin.com/company/crawford-smith,@crawfordsmit811,Stephanie Ortiz,Big Data,100.0
1792,Stevens and Sons,Food Tech,Crowdsourced food sustainability scores via mobile apps.,2017,"West Melanie, Latvia",Series D,294.89,1195.0,stevensandsons.ai,https://linkedin.com/company/stevens-and-sons,@stevensandso6413,Kathy Calhoun DDS,Computer Vision,5.0
1793,"Mcclure, Ramirez and Brown",Blockchain,Blockchain scalability breakthroughs reducing latency.,2020,"Meyerhaven, Cocos (Keeling) Islands",Series C,,223.0,mcclureramirezandbrown.com,https://linkedin.com/company/mcclure-ramirez-and-brown,@mcclureramir7288,Dennis Chavez,5G,25.0
1794,Taylor Group,CleanTech,Autonomous drones for environmental surveillance.,2010,"South Shellyside, Uzbekistan",Series A,4.38,,taylorgroup.ai,https://linkedin.com/company/taylor-group,@taylorgroup5839,Patricia Smith,Artificial Intelligence,80.0
1795,Brown LLC,SaaS,IoT-ready SaaS platforms integrating with sensor networks.,2024,"North Darrenstad, Afghanistan",IPO,390.23,3236.0,brownllc.co,https://linkedin.com/company/brown-llc,@brownllc5769,Sarah Blackwell,Blockchain,20.0
1796,Zavala Ltd,SaaS,"Multi-tenant platform built for security, scale, and speed.",2020,"West Jacobland, San Marino",Pre-Seed,0.54,7.0,zavalaltd.tech,https://linkedin.com/company/zavala-ltd,@zavalaltd2176,Natasha Perez,Artificial Intelligence,70.0
1797,Brown-Hudson,E-commerce,Dynamic pricing algorithms maximizing revenue and competitiveness.,2012,"North Antonio, Barbados",Series D,,509.0,brownhudson.ai,,@brownhudson1126,Linda Becker,Computer Vision,
1798,Krueger LLC,Mobility,Dynamic carpooling platforms reducing fuel usage.,2021,"New Audreyport, Monaco",Series B,59.91,,kruegerllc.io,https://linkedin.com/company/krueger-llc,@kruegerllc5215,Melissa Perez,NLP,
1799,"Thomas, Bradley and Mcdonald",EdTech,Skill-based microlearning built for career outcomes.,2017,"Port Meredith, Guatemala",Series B,23.39,161.0,thomasbradleyandmcdonald.app,https://linkedin.com/company/thomas-bradley-and-mcdonald,@thomasbradle6738,David Frye,IoT,10.0
1800,Gutierrez Ltd,AI & Machine Learning,Real-time NLP solutions to power human-like interactions.,2008,"New Laurahaven, Uzbekistan",,,143.0,gutierrezltd.app,https://linkedin.com/company/gutierrez-ltd,@gutierrezltd1134,John Ballard,Big Data,40.0
1801,"Miller, Winters and Swanson",Cybersecurity,AI-driven zero-trust orchestration across hybrid environments.,2023,"North Jonathanton, Cape Verde",Seed,4.37,30.0,millerwintersandswanson.tech,https://linkedin.com/company/miller-winters-and-swanson,@millerwinter7979,Justin Bishop,Augmented Reality,25.0
1802,Cohen Inc,SaaS,Unified SaaS billing simplifying procurement operations.,2020,"Staffordborough, Turkmenistan",Series B,36.33,40.0,coheninc.co,https://linkedin.com/company/cohen-inc,@coheninc3353,Monica Kim,Machine Learning,90.0
1803,"Gallagher, Colon and Rogers",SaaS,On-demand SaaS microservices accelerating integration cycles.,2018,"South Alyssa, Iraq",Pre-Seed,0.98,5.0,gallaghercolonandrogers.app,https://linkedin.com/company/gallagher-colon-and-rogers,@gallaghercol309,Veronica Graham,Big Data,80.0
1804,"Patterson, Lee and Kelley",HealthTech,"AI-assisted diagnostics for faster, more accurate care.",2013,"Patriciaside, Macao",Private Equity,162.94,,pattersonleeandkelley.com,https://linkedin.com/company/patterson-lee-and-kelley,@pattersonlee3822,Eric Thompson,Augmented Reality,15.0
1805,Reyes Ltd,HealthTech,Federated learning safeguarding patient privacy.,2008,"Richardberg, Mauritius",,,160.0,reyesltd.io,https://linkedin.com/company/reyes-ltd,@reyesltd670,Geoffrey Griffin,Blockchain,50.0
1806,Mcintosh-Bush,Blockchain,Privacy-preserving zk-SNARKs for secure transactions.,2022,"Wardmouth, Guinea",,,188.0,mcintoshbush.com,https://linkedin.com/company/mcintosh-bush,@mcintoshbush5059,Tyler Moore,Computer Vision,15.0
1807,"White, Summers and Wheeler",IoT,IoT wearables guiding elderly healthcare monitoring.,2013,"Rachelmouth, Botswana",,,257.0,whitesummersandwheeler.tech,https://linkedin.com/company/white-summers-and-wheeler,@whitesummers2116,Mark Collins,Augmented Reality,80.0
1808,Wade PLC,CleanTech,Blockchain for transparent carbon credit trading.,2021,"East Coryland, Bolivia",Series C,,212.0,wadeplc.io,https://linkedin.com/company/wade-plc,@wadeplc7035,Jordan Hughes,Cybersecurity,5.0
1809,"Andersen, Smith and Murphy",Food Tech,Drone-powered food delivery for instant convenience.,2022,"Janetmouth, Pitcairn Islands",Series C,87.67,207.0,andersensmithandmurphy.com,https://linkedin.com/company/andersen-smith-and-murphy,@andersensmit7266,Michael Thompson,5G,40.0
1810,"Johnson, Love and Watson",Gaming,VR-first social hubs connecting global gamers.,2010,"West Lisa, Venezuela",Seed,2.77,26.0,johnsonloveandwatson.com,https://linkedin.com/company/johnson-love-and-watson,@johnsonlovea7680,Todd Fleming,NLP,25.0
1811,Orozco Ltd,E-commerce,Crowdsourced reviews strengthened with AI authenticity checks.,2017,"East Samuel, Germany",Series D,187.19,1155.0,orozcoltd.co,https://linkedin.com/company/orozco-ltd,@orozcoltd2503,Stephanie Howard,Edge Computing,50.0
1812,Smith Group,Blockchain,Blockchain-enabled invoice factoring with real-time validation.,2024,"North Luismouth, Croatia",IPO,124.28,1702.0,smithgroup.io,https://linkedin.com/company/smith-group,@smithgroup7726,Tara Knox,Machine Learning,10.0
1813,Levy-Pena,Cybersecurity,Encrypted analytics enabling secure multi-party data sharing.,2025,"Scottmouth, Antigua and Barbuda",Series C,83.76,382.0,levypena.ai,https://linkedin.com/company/levy-pena,@levypena7636,Andrew Davenport,Blockchain,150.0
1814,Hubbard Ltd,PropTech,Solar integration dashboards for green building ops.,2018,"Port David, Nepal",Private Equity,317.01,,hubbardltd.tech,https://linkedin.com/company/hubbard-ltd,@hubbardltd8861,Tara Erickson,Cloud Computing,10.0
1815,"Craig, Schneider and Mcintyre",FinTech,Biometric authentication for secure digital banking.,2023,"North Alecfurt, France",Seed,2.9,18.0,craigschneiderandmcintyre.tech,https://linkedin.com/company/craig-schneider-and-mcintyre,@craigschneid6400,Lisa Booker,Blockchain,30.0
1816,"Smith, Vaughn and Riley",CleanTech,Autonomous drones for environmental surveillance.,2014,"West Michaelton, Turkey",IPO,875.12,4223.0,smithvaughnandriley.co,https://linkedin.com/company/smith-vaughn-and-riley,@smithvaughna1299,Angel Carr,Big Data,25.0
1817,Brown-Daniels,FinTech,AI-powered underwriting for faster loan approvals.,2018,"East Veronicamouth, Turkmenistan",Pre-Seed,0.84,2.0,browndaniels.io,https://linkedin.com/company/brown-daniels,@browndaniels9291,Stephanie Moyer,Quantum Computing,100.0
1818,Reed-Brady,PropTech,Neighborhood AI insights guiding urban planning.,2023,"Ginamouth, Cameroon",Pre-Seed,,10.0,reedbrady.com,https://linkedin.com/company/reed-brady,@reedbrady1941,James Johnson,Deep Learning,10.0
1819,Stuart-Hudson,HealthTech,Virtual health assistants mentoring patient wellness.,2020,"Lake Andrewshire, Japan",,,119.0,stuarthudson.io,https://linkedin.com/company/stuart-hudson,@stuarthudson4504,Susan Kelley,5G,120.0
1820,Payne Ltd,AI & Machine Learning,Low-latency AI infrastructure for production-grade intelligence.,2021,"Woodston, Slovakia (Slovak Republic)",Series D,165.06,1082.0,,https://linkedin.com/company/payne-ltd,@payneltd3692,Dana Mendoza,NLP,40.0
1821,Benson-Martinez,Blockchain,E-voting with blockchain-backed identity validation.,2011,"Lake James, Thailand",Series B,51.99,85.0,bensonmartinez.com,https://linkedin.com/company/benson-martinez,@bensonmartin5291,Kevin Richmond,Cloud Computing,80.0
1822,Atkins-Smith,E-commerce,Customer journey mapping powered by real-time data.,2012,"Henryfurt, Senegal",Pre-Seed,0.81,4.0,atkinssmith.tech,https://linkedin.com/company/atkins-smith,@atkinssmith4487,Brooke Murphy,Cloud Computing,60.0
1823,Martin LLC,CleanTech,AI-driven smart grids balancing renewable fluctuations.,2017,"North Trevorfurt, Germany",Seed,,3.0,martinllc.app,https://linkedin.com/company/martin-llc,@martinllc1678,Steven White,NLP,25.0
1824,Stevens LLC,Mobility,AI systems predicting maintenance for public buses.,2025,"New Bruce, Colombia",Series B,15.69,130.0,stevensllc.tech,https://linkedin.com/company/stevens-llc,@stevensllc9859,Laura Maxwell,Artificial Intelligence,15.0
1825,Mccormick LLC,Mobility,V2X (Vehicle-to-Everything) improving urban safety.,2009,"Melissaland, American Samoa",IPO,227.91,2778.0,mccormickllc.app,https://linkedin.com/company/mccormick-llc,@mccormickllc4375,Amanda Williams,Cloud Computing,90.0
1826,Combs-Williams,Blockchain,Trustless settlement with transparent on-chain analytics.,2015,"North Dana, Mauritius",Series C,80.79,588.0,combswilliams.ai,https://linkedin.com/company/combs-williams,@combswilliam355,Jennifer King,5G,15.0
1827,Hernandez Inc,Blockchain,Blockchain for land title registration transparency.,2014,"South Philipbury, South Africa",IPO,419.56,3298.0,hernandezinc.co,https://linkedin.com/company/hernandez-inc,@hernandezinc2625,Timothy Campbell,NLP,25.0
1828,"Cook, Hester and Barr",CleanTech,AI governance ensuring ethical carbon offset projects.,2009,"Karenshire, Moldova",Series B,,114.0,cookhesterandbarr.tech,https://linkedin.com/company/cook-hester-and-barr,@cookhesteran6035,Kimberly Morris,Cybersecurity,70.0
